,id,median_age,Geographic Area Name,year,total_pop
153,0500000US05085,36.1,"Lonoke County, Arkansas",2018,72206
154,0500000US05087,42.6,"Madison County, Arkansas",2018,16076
155,0500000US05089,51.7,"Marion County, Arkansas",2018,16438
156,0500000US05091,38.9,"Miller County, Arkansas",2018,43759
157,0500000US05093,36.2,"Mississippi County, Arkansas",2018,42831
158,0500000US05095,47.0,"Monroe County, Arkansas",2018,7249
159,0500000US05097,50.0,"Montgomery County, Arkansas",2018,8993
160,0500000US05099,44.8,"Nevada County, Arkansas",2018,8440
161,0500000US05101,49.1,"Newton County, Arkansas",2018,7848
162,0500000US05103,42.3,"Ouachita County, Arkansas",2018,24106
163,0500000US05105,43.5,"Perry County, Arkansas",2018,10322
164,0500000US05107,38.5,"Phillips County, Arkansas",2018,19034
165,0500000US05109,42.8,"Pike County, Arkansas",2018,10808
166,0500000US05111,39.7,"Poinsett County, Arkansas",2018,24054
167,0500000US05113,43.7,"Polk County, Arkansas",2018,20163
168,0500000US05115,35.0,"Pope County, Arkansas",2018,63644
169,0500000US05117,46.2,"Prairie County, Arkansas",2018,8244
170,0500000US05119,36.9,"Pulaski County, Arkansas",2018,393463
171,0500000US05121,41.5,"Randolph County, Arkansas",2018,17603
172,0500000US05123,38.9,"St. Francis County, Arkansas",2018,26294
173,0500000US05125,39.2,"Saline County, Arkansas",2018,118009
174,0500000US05127,41.0,"Scott County, Arkansas",2018,10442
175,0500000US05129,47.6,"Searcy County, Arkansas",2018,7923
176,0500000US05131,37.5,"Sebastian County, Arkansas",2018,127461
177,0500000US05133,34.9,"Sevier County, Arkansas",2018,17193
178,0500000US05135,47.4,"Sharp County, Arkansas",2018,17043
179,0500000US05137,49.8,"Stone County, Arkansas",2018,12446
180,0500000US05139,40.1,"Union County, Arkansas",2018,39732
181,0500000US05141,47.9,"Van Buren County, Arkansas",2018,16684
182,0500000US05143,31.8,"Washington County, Arkansas",2018,228529
183,0500000US05145,36.6,"White County, Arkansas",2018,78804
184,0500000US05147,45.6,"Woodruff County, Arkansas",2018,6660
185,0500000US05149,39.3,"Yell County, Arkansas",2018,21573
186,0500000US06001,37.4,"Alameda County, California",2018,1643700
187,0500000US06003,44.3,"Alpine County, California",2018,1146
188,0500000US06005,50.5,"Amador County, California",2018,37829
189,0500000US06007,37.1,"Butte County, California",2018,227075
190,0500000US06009,52.1,"Calaveras County, California",2018,45235
191,0500000US06011,35.1,"Colusa County, California",2018,21464
192,0500000US06013,39.4,"Contra Costa County, California",2018,1133247
193,0500000US06015,38.6,"Del Norte County, California",2018,27424
194,0500000US06017,45.8,"El Dorado County, California",2018,186661
195,0500000US06019,32.0,"Fresno County, California",2018,978130
196,0500000US06021,36.6,"Glenn County, California",2018,27897
197,0500000US06023,38.0,"Humboldt County, California",2018,135768
198,0500000US06025,32.4,"Imperial County, California",2018,180216
199,0500000US06027,45.7,"Inyo County, California",2018,18085
200,0500000US06029,31.5,"Kern County, California",2018,883053
201,0500000US06031,31.7,"Kings County, California",2018,150075
202,0500000US06033,45.6,"Lake County, California",2018,64148
203,0500000US06035,36.0,"Lassen County, California",2018,31185
204,0500000US06037,36.2,"Los Angeles County, California",2018,10098052
205,0500000US06039,33.9,"Madera County, California",2018,155013
206,0500000US06041,46.5,"Marin County, California",2018,260295
207,0500000US06043,51.4,"Mariposa County, California",2018,17540
208,0500000US06045,42.8,"Mendocino County, California",2018,87422
209,0500000US06047,30.9,"Merced County, California",2018,269075
210,0500000US06049,47.7,"Modoc County, California",2018,8938
211,0500000US06051,38.3,"Mono County, California",2018,14174
212,0500000US06053,34.1,"Monterey County, California",2018,433212
213,0500000US06055,41.1,"Napa County, California",2018,140530
214,0500000US06057,50.1,"Nevada County, California",2018,99092
215,0500000US06059,37.8,"Orange County, California",2018,3164182
216,0500000US06061,41.9,"Placer County, California",2018,380077
217,0500000US06063,52.2,"Plumas County, California",2018,18699
218,0500000US06065,35.3,"Riverside County, California",2018,2383286
219,0500000US06067,36.0,"Sacramento County, California",2018,1510023
220,0500000US06069,35.5,"San Benito County, California",2018,59416
221,0500000US06071,33.1,"San Bernardino County, California",2018,2135413
222,0500000US06073,35.6,"San Diego County, California",2018,3302833
223,0500000US06075,38.2,"San Francisco County, California",2018,870044
224,0500000US06077,34.1,"San Joaquin County, California",2018,732212
225,0500000US06079,39.1,"San Luis Obispo County, California",2018,281455
226,0500000US06081,39.6,"San Mateo County, California",2018,765935
227,0500000US06083,33.7,"Santa Barbara County, California",2018,443738
228,0500000US06085,37.0,"Santa Clara County, California",2018,1922200
229,0500000US06087,37.4,"Santa Cruz County, California",2018,273765
230,0500000US06089,41.8,"Shasta County, California",2018,179085
231,0500000US06091,55.5,"Sierra County, California",2018,2930
232,0500000US06093,48.0,"Siskiyou County, California",2018,43540
233,0500000US06095,37.9,"Solano County, California",2018,438530
234,0500000US06097,41.7,"Sonoma County, California",2018,501317
235,0500000US06099,34.0,"Stanislaus County, California",2018,539301
236,0500000US06101,35.7,"Sutter County, California",2018,95872
237,0500000US06103,40.9,"Tehama County, California",2018,63373
238,0500000US06105,51.8,"Trinity County, California",2018,12862
239,0500000US06107,30.8,"Tulare County, California",2018,460477
240,0500000US06109,48.4,"Tuolumne County, California",2018,53932
