,poverty_rate,per_capita_income_2007,year,fips
244,12.5,45478.0,2007,6109.0
245,8.7,72762.0,2007,6111.0
246,14.5,55988.0,2007,6113.0
247,19.2,40602.0,2007,6115.0
249,12.8,52544.0,2007,8001.0
250,21.9,35988.0,2007,8003.0
251,11.1,59299.0,2007,8005.0
252,10.4,53200.0,2007,8007.0
253,19.8,30397.0,2007,8009.0
254,28.2,32043.0,2007,8011.0
255,12.1,64299.0,2007,8013.0
256,5.6,70168.0,2007,8014.0
257,12.3,42464.0,2007,8015.0
258,12.4,44053.0,2007,8017.0
259,7.4,65137.0,2007,8019.0
260,22.1,30453.0,2007,8021.0
261,25.3,25164.0,2007,8023.0
262,43.8,30896.0,2007,8025.0
263,11.7,44193.0,2007,8027.0
264,12.1,39082.0,2007,8029.0
265,17.4,44881.0,2007,8031.0
266,12.8,36797.0,2007,8033.0
267,2.4,94042.0,2007,8035.0
268,6.8,73440.0,2007,8037.0
269,4.9,77037.0,2007,8039.0
270,10.0,55253.0,2007,8041.0
271,18.7,34630.0,2007,8043.0
272,7.8,64173.0,2007,8045.0
273,6.2,62746.0,2007,8047.0
274,7.3,59118.0,2007,8049.0
275,10.7,49333.0,2007,8051.0
276,8.5,47010.0,2007,8053.0
277,22.0,29783.0,2007,8055.0
278,14.2,39007.0,2007,8057.0
279,8.1,64548.0,2007,8059.0
280,14.7,34084.0,2007,8061.0
281,14.5,37288.0,2007,8063.0
282,12.7,41492.0,2007,8065.0
283,11.3,53720.0,2007,8067.0
284,12.2,52968.0,2007,8069.0
285,17.2,36607.0,2007,8071.0
286,17.5,36252.0,2007,8073.0
287,13.7,40874.0,2007,8075.0
288,12.0,49926.0,2007,8077.0
289,9.3,44031.0,2007,8079.0
290,10.6,54323.0,2007,8081.0
291,14.0,41425.0,2007,8083.0
292,12.6,45254.0,2007,8085.0
293,12.3,43540.0,2007,8087.0
294,24.9,31996.0,2007,8089.0
295,7.4,55074.0,2007,8091.0
296,7.4,61987.0,2007,8093.0
297,11.5,39430.0,2007,8095.0
298,4.6,72727.0,2007,8097.0
299,19.8,34581.0,2007,8099.0
300,17.8,40570.0,2007,8101.0
301,8.2,58841.0,2007,8103.0
302,18.1,37350.0,2007,8105.0
303,6.2,63797.0,2007,8107.0
304,30.6,30193.0,2007,8109.0
305,14.3,38257.0,2007,8111.0
306,8.6,59973.0,2007,8113.0
307,12.2,32086.0,2007,8115.0
308,7.0,68685.0,2007,8117.0
309,7.4,59075.0,2007,8119.0
310,13.4,38149.0,2007,8121.0
311,11.6,52228.0,2007,8123.0
312,12.1,41570.0,2007,8125.0
314,6.7,80020.0,2007,9001.0
315,9.3,61056.0,2007,9003.0
316,5.4,68142.0,2007,9005.0
317,5.2,72155.0,2007,9007.0
318,9.5,59640.0,2007,9009.0
319,6.9,60907.0,2007,9011.0
320,6.3,74700.0,2007,9013.0
321,8.5,57339.0,2007,9015.0
323,12.1,47407.0,2007,10001.0
324,10.1,59871.0,2007,10003.0
325,9.7,50132.0,2007,10005.0
327,17.1,54812.0,2007,11001.0
329,22.8,38075.0,2007,12001.0
330,14.4,45783.0,2007,12003.0
331,12.0,47495.0,2007,12005.0
332,16.9,40542.0,2007,12007.0
333,8.6,50261.0,2007,12009.0
334,11.4,52504.0,2007,12011.0
335,23.3,28186.0,2007,12013.0
336,9.2,46328.0,2007,12015.0
337,12.1,36979.0,2007,12017.0
338,8.0,58696.0,2007,12019.0
339,9.9,58519.0,2007,12021.0
340,13.9,40422.0,2007,12023.0
341,21.4,35988.0,2007,12027.0
342,21.6,31018.0,2007,12029.0
343,12.4,49175.0,2007,12031.0
344,15.0,41772.0,2007,12033.0
345,10.1,45639.0,2007,12035.0
346,18.6,35182.0,2007,12037.0
347,25.4,35322.0,2007,12039.0
348,15.4,39383.0,2007,12041.0
349,16.4,37220.0,2007,12043.0
350,16.7,38160.0,2007,12045.0
351,27.7,30971.0,2007,12047.0
352,24.0,36590.0,2007,12049.0
353,20.0,38270.0,2007,12051.0
354,8.9,43208.0,2007,12053.0
355,17.4,34098.0,2007,12055.0
356,11.6,50485.0,2007,12057.0
357,19.8,33321.0,2007,12059.0
358,9.7,47563.0,2007,12061.0
359,27.3,35897.0,2007,12063.0
360,17.8,40217.0,2007,12065.0
361,22.0,36855.0,2007,12067.0
362,9.0,46557.0,2007,12069.0
363,10.1,50750.0,2007,12071.0
364,17.0,48739.0,2007,12073.0
365,18.5,34499.0,2007,12075.0
366,18.4,36758.0,2007,12077.0
367,21.0,39394.0,2007,12079.0
368,10.6,48940.0,2007,12081.0
369,13.0,39354.0,2007,12083.0
370,8.5,55229.0,2007,12085.0
371,15.3,43495.0,2007,12086.0
372,10.5,55054.0,2007,12087.0
373,8.9,56500.0,2007,12089.0
374,9.4,54633.0,2007,12091.0
375,16.4,36989.0,2007,12093.0
376,11.6,50988.0,2007,12095.0
377,11.2,46599.0,2007,12097.0
378,10.2,53500.0,2007,12099.0
379,11.9,44233.0,2007,12101.0
380,11.3,44325.0,2007,12103.0
381,12.8,44216.0,2007,12105.0
