,poverty_rate,per_capita_income_2002,fips,year
750,9.5,38406,18079,2002
751,6.4,53775,18081,2002
752,13.7,32476,18083,2002
753,7.3,45428,18085,2002
754,8.6,43389,18087,2002
755,12.1,40169,18089,2002
756,10.4,39692,18091,2002
757,9.3,37782,18093,2002
758,10.3,38973,18095,2002
759,11.7,40458,18097,2002
760,7.9,41853,18099,2002
761,9.6,37188,18101,2002
762,10.3,39092,18103,2002
763,12.3,34782,18105,2002
764,9.1,41225,18107,2002
765,7.8,49025,18109,2002
766,8.7,40932,18111,2002
767,7.9,42934,18113,2002
768,7.0,42395,18115,2002
769,12.6,32145,18117,2002
770,10.8,36887,18119,2002
771,12.3,35258,18121,2002
772,9.7,37284,18123,2002
773,9.3,36071,18125,2002
774,6.5,53726,18127,2002
775,6.8,48049,18129,2002
776,10.3,36957,18131,2002
777,9.0,40933,18133,2002
778,10.7,36203,18135,2002
779,7.7,42628,18137,2002
780,8.8,39467,18139,2002
781,11.2,39940,18141,2002
782,11.6,34823,18143,2002
783,8.0,43870,18145,2002
784,7.2,43645,18147,2002
785,11.7,36016,18149,2002
786,8.3,42509,18151,2002
787,12.9,33243,18153,2002
788,11.9,35349,18155,2002
789,11.6,38771,18157,2002
790,6.3,48820,18159,2002
791,8.9,37726,18161,2002
792,11.3,37676,18163,2002
793,9.1,36821,18165,2002
794,13.9,33695,18167,2002
795,8.5,40278,18169,2002
796,7.7,42236,18171,2002
797,5.7,52779,18173,2002
798,10.4,36680,18175,2002
799,11.8,35300,18177,2002
800,6.6,43681,18179,2002
801,8.2,39632,18181,2002
802,5.7,47003,18183,2002
804,8.8,37724,19001,2002
805,11.7,31183,19003,2002
806,9.7,35168,19005,2002
807,15.1,29509,19007,2002
808,9.8,34963,19009,2002
809,6.1,45761,19011,2002
810,11.2,38203,19013,2002
811,7.2,42301,19015,2002
812,6.6,44111,19017,2002
813,9.2,39725,19019,2002
814,9.6,36291,19021,2002
815,7.7,38445,19023,2002
816,10.5,34988,19025,2002
817,8.0,39473,19027,2002
818,10.6,33985,19029,2002
819,6.0,44940,19031,2002
820,9.1,37303,19033,2002
821,8.7,37349,19035,2002
822,9.0,37921,19037,2002
823,10.1,36574,19039,2002
824,8.4,37831,19041,2002
825,9.6,35452,19043,2002
826,10.3,38045,19045,2002
827,10.3,35834,19047,2002
828,5.0,54287,19049,2002
829,14.0,33333,19051,2002
830,17.3,27552,19053,2002
831,8.7,39632,19055,2002
832,10.9,37718,19057,2002
833,7.3,40667,19059,2002
834,8.2,41242,19061,2002
835,9.6,33956,19063,2002
836,11.6,33489,19065,2002
837,10.6,35849,19067,2002
838,9.1,37177,19069,2002
