,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
110,232396,51.2,89.3,0.7,1.4,1.0,0.1,4.1,14.7,04025
111,211931,48.5,69.4,2.2,1.5,1.2,0.1,10.8,64.1,04027
112,17761,52.2,71.3,25.1,0.6,0.1,0.0,2.2,3.4,05001
113,20000,51.7,72.2,24.9,0.0,0.2,0.5,1.1,5.6,05003
114,41673,51.4,94.9,0.2,0.5,0.4,0.0,3.0,2.4,05005
115,273510,50.2,82.0,1.6,1.2,4.0,0.7,7.7,16.8,05007
116,37525,50.7,95.8,0.2,0.7,0.7,0.0,2.3,2.6,05009
117,10805,52.8,66.8,27.5,3.3,0.1,0.0,1.7,15.4,05011
118,5160,50.0,74.4,22.2,0.0,0.0,0.3,3.0,4.2,05013
119,28062,50.2,89.3,0.9,1.2,1.4,1.0,4.5,15.1,05015
120,10433,50.5,42.6,53.8,0.2,0.6,0.0,2.2,5.7,05017
121,22341,52.6,70.0,24.2,0.2,0.6,0.1,2.0,4.8,05019
122,14710,50.8,95.5,0.5,0.4,0.0,0.0,2.1,2.2,05021
123,25063,50.1,96.1,0.9,0.9,0.3,0.0,1.8,2.4,05023
124,8063,52.6,84.4,13.5,0.3,0.0,0.0,1.8,0.0,05025
125,23620,51.9,61.0,36.2,0.2,0.8,0.0,0.9,2.8,05027
126,20895,50.7,85.2,10.1,0.4,0.5,0.0,3.8,4.0,05029
127,109081,51.2,77.6,15.2,0.2,1.3,0.0,3.6,5.1,05031
128,63118,50.7,87.7,1.6,1.9,1.6,0.0,4.1,8.0,05033
129,48381,52.4,42.7,48.6,0.2,0.7,0.0,7.5,2.7,05035
130,16576,51.8,73.8,17.8,0.2,0.0,0.0,8.1,2.1,05037
131,7114,51.4,53.9,43.1,0.5,0.0,0.4,1.7,1.6,05039
132,11538,54.0,48.8,47.4,0.3,0.4,0.0,1.5,6.4,05041
133,18263,51.3,68.5,28.5,0.0,0.0,0.0,1.9,3.6,05043
134,124800,51.4,81.7,11.5,0.4,1.1,0.1,3.3,4.2,05045
135,17785,50.3,93.2,1.0,1.6,0.7,0.3,2.2,3.2,05047
136,12301,51.0,94.7,0.3,0.9,0.1,0.2,3.7,0.6,05049
137,99043,52.1,85.0,8.4,1.0,0.8,0.0,3.0,5.8,05051
138,18229,50.4,93.9,2.6,0.1,0.0,0.2,2.7,2.9,05053
139,45197,51.0,93.6,2.3,0.3,0.4,0.0,2.6,2.9,05055
140,21695,53.8,56.5,30.1,0.5,0.1,0.3,2.5,12.9,05057
141,33667,47.5,84.6,11.3,0.3,0.2,0.0,2.6,3.5,05059
142,13267,52.3,66.3,20.5,0.4,0.9,0.1,2.5,12.7,05061
143,37585,50.9,89.8,1.9,0.3,0.8,0.0,4.0,6.6,05063
144,13596,47.4,90.2,1.0,0.8,0.0,0.0,7.6,2.4,05065
145,16908,50.5,76.9,11.5,0.1,0.1,0.0,11.1,3.0,05067
146,68123,50.6,39.3,55.8,0.3,1.0,0.5,2.1,2.2,05069
147,26475,50.9,89.0,1.6,0.2,2.3,0.2,4.9,14.0,05071
