year,fips,covid_cases
2021,6041,20470
2022,6041,40393
2020,6043,262
2021,6043,1509
2022,6043,2753
2020,6045,2460
2021,6045,8422
2022,6045,14383
2020,6047,19514
2021,6047,44767
2022,6047,65730
2020,6049,263
2021,6049,601
2022,6049,780
2020,6051,898
2021,6051,2101
2022,6051,3081
2020,6053,28808
2021,6053,50252
2022,6053,85710
2020,6055,6145
2021,6055,14437
2022,6055,29284
2020,6057,2825
2021,6057,10294
2022,6057,17434
2020,6059,169543
2021,6059,339524
2022,6059,599950
2020,6061,14966
2021,6061,40542
2022,6061,69244
2020,6063,478
2021,6063,1994
2022,6063,3267
2020,6065,193722
2021,6065,397082
2022,6065,628979
2020,6067,67762
2021,6067,173561
2022,6067,313222
2020,6069,3784
2021,6069,8319
2022,6069,14300
2020,6071,208848
2021,6071,386236
2022,6071,600910
2020,6073,168701
2021,6073,426843
2022,6073,828907
2020,6075,24371
2021,6075,64490
2022,6075,157413
2020,6077,47521
2021,6077,106635
2022,6077,179469
2020,6079,11685
2021,6079,32329
2022,6079,57772
2020,6081,26496
2021,6081,59474
2022,6081,148531
2020,6083,18800
2021,6083,49547
2022,6083,94683
2020,6085,73591
2021,6085,164532
2022,6085,377983
2020,6087,9804
2021,6087,22978
2022,6087,55432
2020,6089,8418
2021,6089,23159
2022,6089,32106
2020,6091,31
2021,6091,206
2022,6091,283
2020,6093,1034
2021,6093,3472
2022,6093,4773
2020,6095,20163
2021,6095,48945
2022,6095,92963
2020,6097,19916
2021,6097,46034
2022,6097,96847
2020,6099,35782
2021,6099,84348
2022,6099,125169
2020,6101,6639
2021,6101,14736
2022,6101,21831
2020,6103,3154
2021,6103,8916
2022,6103,12561
2020,6105,287
2021,6105,832
2022,6105,1245
2020,6107,34779
2021,6107,71942
2022,6107,111706
2020,6109,2964
2021,6109,8044
2022,6109,13779
2020,6111,42947
2021,6111,107993
2022,6111,188517
2020,6113,8933
2021,6113,21564
2022,6113,42410
2020,6115,3941
2021,6115,10416
2022,6115,17079
2020,8001,39554
2021,8001,91752
2022,8001,146931
2020,8003,920
2021,8003,3081
2022,8003,4948
2020,8005,37562
2021,8005,99200
2022,8005,171783
2020,8007,470
2021,8007,2053
2022,8007,2948
2020,8009,189
2021,8009,589
2022,8009,890
2020,8011,1027
2021,8011,1950
2022,8011,2625
2020,8013,14512
2021,8013,38724
2022,8013,76831
2020,8014,2781
2021,8014,8490
2022,8014,15616
2020,8015,1016
2021,8015,2832
2022,8015,5041
2020,8017,88
2021,8017,249
2022,8017,322
2020,8019,272
2021,8019,979
2022,8019,1626
2020,8021,309
2021,8021,1189
2022,8021,1948
2020,8023,161
2021,8023,438
2022,8023,720
2020,8025,1640
2021,8025,2495
2022,8025,3395
2020,8027,147
2021,8027,491
2022,8027,667
2020,8029,1569
2021,8029,4778
2022,8029,6494
2020,8031,47167
2021,8031,114373
2022,8031,195844
2020,8033,52
2021,8033,284
2022,8033,367
2020,8035,15488
2021,8035,50410
2022,8035,88557
2020,8037,3323
2021,8037,11238
2022,8037,17182
2020,8039,969
2021,8039,3276
2022,8039,5176
2020,8041,40752
2021,8041,123610
2022,8041,205721
2020,8043,4617
2021,8043,10551
2022,8043,16276
2020,8045,3833
2021,8045,9667
2022,8045,16051
2020,8047,122
2021,8047,590
2022,8047,986
2020,8049,648
2021,8049,2480
2022,8049,3747
2020,8051,693
2021,8051,2124
2022,8051,3432
2020,8053,12
2021,8053,69
2022,8053,132
2020,8055,276
2021,8055,915
2022,8055,1532
2020,8057,31
2021,8057,127
2022,8057,169
2020,8059,29295
2021,8059,80563
2022,8059,140371
2020,8061,75
2021,8061,278
2022,8061,337
2020,8063,432
2021,8063,1267
2022,8063,1677
2020,8065,419
2021,8065,1260
2022,8065,1854
2020,8067,2206
