,fips,year,employed_persons,unemployment_rate,total_pop,poverty_rate,per_capita_income_2007,per_capita_income_2006,per_capita_income_2005,per_capita_income_2008,per_capita_income_2003,per_capita_income_2004,per_capita_income_2009,per_capita_income_2002
161,5091,2000,17413.0,4.4,40436.0,,,,,,,,,
162,5093,2000,20943.0,7.7,51849.0,,,,,,,,,
163,5095,2000,3871.0,5.0,10182.0,,,,,,,,,
164,5097,2000,3914.0,4.0,9263.0,,,,,,,,,
165,5099,2000,4394.0,4.7,9895.0,,,,,,,,,
166,5101,2000,3601.0,4.3,8642.0,,,,,,,,,
167,5103,2000,11682.0,5.8,28677.0,,,,,,,,,
168,5105,2000,4576.0,4.9,10223.0,,,,,,,,,
169,5107,2000,9115.0,6.1,26290.0,,,,,,,,,
170,5109,2000,5216.0,4.1,11332.0,,,,,,,,,
171,5111,2000,10914.0,4.7,25617.0,,,,,,,,,
172,5113,2000,8629.0,4.0,20268.0,,,,,,,,,
173,5115,2000,25683.0,4.2,54541.0,,,,,,,,,
174,5117,2000,4216.0,4.3,9491.0,,,,,,,,,
175,5119,2000,177647.0,3.7,361876.0,,,,,,,,,
176,5121,2000,7862.0,5.2,18155.0,,,,,,,,,
177,5123,2000,10170.0,6.9,29325.0,,,,,,,,,
178,5125,2000,41368.0,3.2,84084.0,,,,,,,,,
179,5127,2000,4767.0,3.4,10980.0,,,,,,,,,
180,5129,2000,3148.0,4.9,8246.0,,,,,,,,,
181,5131,2000,54646.0,3.3,115578.0,,,,,,,,,
182,5133,2000,6972.0,3.8,15747.0,,,,,,,,,
183,5135,2000,6227.0,5.1,17138.0,,,,,,,,,
184,5137,2000,4464.0,4.3,11519.0,,,,,,,,,
185,5139,2000,19262.0,4.7,45532.0,,,,,,,,,
186,5141,2000,6280.0,5.3,16221.0,,,,,,,,,
187,5143,2000,79877.0,2.9,158851.0,,,,,,,,,
188,5145,2000,29541.0,4.7,67382.0,,,,,,,,,
189,5147,2000,3545.0,6.1,8686.0,,,,,,,,,
190,5149,2000,9547.0,3.9,21147.0,,,,,,,,,
191,6001,2000,741264.0,3.6,1449840.0,,,,,,,,,
192,6003,2000,520.0,6.3,1209.0,,,,,,,,,
193,6005,2000,14477.0,5.1,35153.0,,,,,,,,,
194,6007,2000,87362.0,6.1,203807.0,,,,,,,,,
195,6009,2000,17134.0,5.5,40645.0,,,,,,,,,
196,6011,2000,8194.0,11.4,18817.0,,,,,,,,,
197,6013,2000,483153.0,3.5,952810.0,,,,,,,,,
198,6015,2000,9478.0,7.3,27440.0,,,,,,,,,
199,6017,2000,78763.0,4.1,157162.0,,,,,,,,,
200,6019,2000,347882.0,10.3,801288.0,,,,,,,,,
201,6021,2000,10335.0,8.4,26416.0,,,,,,,,,
202,6023,2000,56634.0,5.7,126462.0,,,,,,,,,
203,6025,2000,46291.0,17.3,142410.0,,,,,,,,,
204,6027,2000,8440.0,4.6,17955.0,,,,,,,,,
205,6029,2000,269403.0,8.2,663803.0,,,,,,,,,
206,6031,2000,44299.0,9.9,129835.0,,,,,,,,,
207,6033,2000,21402.0,7.2,58538.0,,,,,,,,,
208,6035,2000,10542.0,7.1,33719.0,,,,,,,,,
209,6037,2000,4413213.0,5.4,9538191.0,,,,,,,,,
210,6039,2000,50136.0,8.6,123587.0,,,,,,,,,
211,6041,2000,137758.0,2.8,247520.0,,,,,,,,,
212,6043,2000,7485.0,6.1,17101.0,,,,,,,,,
213,6045,2000,41150.0,5.5,86407.0,,,,,,,,,
214,6047,2000,81627.0,9.5,212258.0,,,,,,,,,
215,6049,2000,3471.0,7.4,9406.0,,,,,,,,,
216,6051,2000,7053.0,4.6,12921.0,,,,,,,,,
217,6053,2000,188232.0,7.3,402990.0,,,,,,,,,
218,6055,2000,64225.0,3.6,124565.0,,,,,,,,,
219,6057,2000,43575.0,4.1,92520.0,,,,,,,,,
220,6059,2000,1428975.0,3.5,2854513.0,,,,,,,,,
221,6061,2000,127349.0,3.6,251012.0,,,,,,,,,
222,6063,2000,9066.0,7.0,20754.0,,,,,,,,,
223,6065,2000,644150.0,5.3,1558985.0,,,,,,,,,
224,6067,2000,582325.0,4.3,1229940.0,,,,,,,,,
225,6069,2000,25802.0,5.9,53781.0,,,,,,,,,
226,6071,2000,703922.0,4.7,1718037.0,,,,,,,,,
227,6073,2000,1322119.0,3.9,2827366.0,,,,,,,,,
228,6075,2000,456633.0,3.4,777885.0,,,,,,,,,
229,6077,2000,240902.0,6.9,567885.0,,,,,,,,,
230,6079,2000,117520.0,4.0,247839.0,,,,,,,,,
231,6081,2000,386727.0,2.8,707820.0,,,,,,,,,
232,6083,2000,193546.0,4.3,399990.0,,,,,,,,,
233,6085,2000,911499.0,3.1,1684947.0,,,,,,,,,
234,6087,2000,140770.0,5.1,255835.0,,,,,,,,,
235,6089,2000,70297.0,6.0,163615.0,,,,,,,,,
236,6091,2000,1696.0,5.8,3574.0,,,,,,,,,
237,6093,2000,17703.0,7.4,44218.0,,,,,,,,,
238,6095,2000,185199.0,4.6,396974.0,,,,,,,,,
239,6097,2000,244734.0,3.3,460421.0,,,,,,,,,
240,6099,2000,191596.0,7.7,449471.0,,,,,,,,,
241,6101,2000,34304.0,9.3,79192.0,,,,,,,,,
242,6103,2000,22072.0,6.4,56170.0,,,,,,,,,
243,6105,2000,4609.0,9.7,12980.0,,,,,,,,,
244,6107,2000,153986.0,10.3,368627.0,,,,,,,,,
245,6109,2000,21540.0,5.8,54658.0,,,,,,,,,
246,6111,2000,374884.0,4.5,756506.0,,,,,,,,,
247,6113,2000,81841.0,5.0,169835.0,,,,,,,,,
248,6115,2000,22361.0,7.9,60372.0,,,,,,,,,
249,8001,2000,181511.0,2.7,350888.0,,,,,,,,,
250,8003,2000,6946.0,3.6,14954.0,,,,,,,,,
251,8005,2000,274886.0,2.4,491482.0,,,,,,,,,
252,8007,2000,4853.0,3.2,10020.0,,,,,,,,,
253,8009,2000,2044.0,2.9,4501.0,,,,,,,,,
254,8011,2000,2185.0,3.9,5954.0,,,,,,,,,
255,8013,2000,156127.0,2.4,271574.0,,,,,,,,,
256,8014,2000,22014.0,2.4,39679.0,,,,,,,,,
257,8015,2000,7102.0,3.3,16337.0,,,,,,,,,
258,8017,2000,1092.0,2.5,2209.0,,,,,,,,,
259,8019,2000,5878.0,2.7,9255.0,,,,,,,,,
260,8021,2000,3171.0,5.0,8401.0,,,,,,,,,
261,8023,2000,1155.0,7.4,3675.0,,,,,,,,,
262,8025,2000,1409.0,5.3,5509.0,,,,,,,,,
263,8027,2000,1608.0,3.4,3523.0,,,,,,,,,
264,8029,2000,11876.0,3.7,27877.0,,,,,,,,,
265,8031,2000,295868.0,3.0,555651.0,,,,,,,,,
266,8033,2000,853.0,5.5,1847.0,,,,,,,,,
267,8035,2000,103389.0,2.0,180121.0,,,,,,,,,
268,8037,2000,25011.0,2.4,41961.0,,,,,,,,,
269,8039,2000,11340.0,2.2,20060.0,,,,,,,,,
270,8041,2000,256881.0,2.9,519938.0,,,,,,,,,
271,8043,2000,17149.0,3.9,46245.0,,,,,,,,,
272,8045,2000,24084.0,2.7,44257.0,,,,,,,,,
273,8047,2000,3225.0,2.5,4783.0,,,,,,,,,
274,8049,2000,7437.0,2.5,12496.0,,,,,,,,,
275,8051,2000,7956.0,2.7,14068.0,,,,,,,,,
276,8053,2000,638.0,2.0,791.0,,,,,,,,,
277,8055,2000,2905.0,5.5,7771.0,,,,,,,,,
278,8057,2000,860.0,2.8,1577.0,,,,,,,,,
279,8059,2000,301984.0,2.3,526251.0,,,,,,,,,
280,8061,2000,758.0,3.1,1610.0,,,,,,,,,
281,8063,2000,3746.0,2.5,7971.0,,,,,,,,,
282,8065,2000,3907.0,3.3,7815.0,,,,,,,,,
283,8067,2000,23750.0,2.9,44228.0,,,,,,,,,
284,8069,2000,142638.0,2.5,253072.0,,,,,,,,,
285,8071,2000,6401.0,4.1,15297.0,,,,,,,,,
286,8073,2000,2552.0,2.7,6070.0,,,,,,,,,
287,8075,2000,9717.0,2.8,20699.0,,,,,,,,,
288,8077,2000,56913.0,3.3,117631.0,,,,,,,,,
289,8079,2000,404.0,3.6,832.0,,,,,,,,,
290,8081,2000,6749.0,3.5,13147.0,,,,,,,,,
291,8083,2000,11310.0,4.1,23847.0,,,,,,,,,
292,8085,2000,15613.0,3.6,33599.0,,,,,,,,,
293,8087,2000,12166.0,3.0,27257.0,,,,,,,,,
294,8089,2000,8436.0,4.3,20242.0,,,,,,,,,
295,8091,2000,2140.0,2.6,3775.0,,,,,,,,,
296,8093,2000,8309.0,2.5,14670.0,,,,,,,,,
297,8095,2000,1999.0,2.6,4455.0,,,,,,,,,
298,8097,2000,9650.0,2.7,14817.0,,,,,,,,,
299,8099,2000,6728.0,2.9,14431.0,,,,,,,,,
300,8101,2000,61420.0,3.9,141800.0,,,,,,,,,
301,8103,2000,3143.0,2.9,5986.0,,,,,,,,,
302,8105,2000,5557.0,4.5,12445.0,,,,,,,,,
303,8107,2000,12193.0,2.5,19815.0,,,,,,,,,
304,8109,2000,2557.0,5.5,5939.0,,,,,,,,,
305,8111,2000,490.0,4.5,562.0,,,,,,,,,
306,8113,2000,4580.0,3.0,6609.0,,,,,,,,,
307,8115,2000,1361.0,2.6,2746.0,,,,,,,,,
308,8117,2000,15703.0,2.2,23700.0,,,,,,,,,
309,8119,2000,11531.0,2.9,20655.0,,,,,,,,,
310,8121,2000,2377.0,2.5,4939.0,,,,,,,,,
311,8123,2000,90971.0,2.7,182782.0,,,,,,,,,
