,poverty_rate,per_capita_income_2005,fips,year
296,7.5,55589,8093.0,2005
297,11.2,34664,8095.0,2005
298,4.9,57615,8097.0,2005
299,22.5,31042,8099.0,2005
300,18.2,37129,8101.0,2005
301,9.6,44709,8103.0,2005
302,17.5,34215,8105.0,2005
303,6.2,58482,8107.0,2005
304,29.1,26081,8109.0,2005
305,16.7,33462,8111.0,2005
306,9.4,50324,8113.0,2005
307,12.7,29871,8115.0,2005
308,6.3,56275,8117.0,2005
309,6.8,56557,8119.0,2005
310,12.1,39779,8121.0,2005
311,11.6,48338,8123.0,2005
312,13.5,37089,8125.0,2005
314,7.3,71493,9001.0,2005
315,9.3,57722,9003.0,2005
316,4.6,63869,9005.0,2005
317,5.3,69856,9007.0,2005
318,10.9,53577,9009.0,2005
319,6.3,58674,9011.0,2005
320,5.7,72167,9013.0,2005
321,9,48630,9015.0,2005
323,11,47335,10001.0,2005
324,9.9,59054,10003.0,2005
325,11.2,44632,10005.0,2005
327,18.3,48078,11001.0,2005
329,21.8,35474,12001.0,2005
330,14.5,43011,12003.0,2005
331,13.7,40540,12005.0,2005
332,15.9,36699,12007.0,2005
333,10.1,43403,12009.0,2005
334,11.2,46618,12011.0,2005
335,21.2,28450,12013.0,2005
336,9.6,39159,12015.0,2005
337,13.3,34171,12017.0,2005
338,8.1,54277,12019.0,2005
339,9.6,52301,12021.0,2005
340,19,33383,12023.0,2005
341,21.4,34879,12027.0,2005
342,24,28251,12029.0,2005
343,12.1,44694,12031.0,2005
344,15.9,39830,12033.0,2005
345,9.6,45355,12035.0,2005
346,18.3,30960,12037.0,2005
347,17.7,33246,12039.0,2005
348,13.7,35286,12041.0,2005
349,15.2,34415,12043.0,2005
350,17.6,34823,12045.0,2005
351,26.6,28301,12047.0,2005
352,24.6,31989,12049.0,2005
353,22.2,36211,12051.0,2005
354,11.8,37672,12053.0,2005
355,16.6,31104,12055.0,2005
356,13,45084,12057.0,2005
357,21.9,30778,12059.0,2005
358,11.7,44450,12061.0,2005
359,16.9,32723,12063.0,2005
360,18.7,35349,12065.0,2005
361,23.6,31038,12067.0,2005
362,11.4,40059,12069.0,2005
363,9.5,46000,12071.0,2005
364,17.2,42667,12073.0,2005
365,19.4,29917,12075.0,2005
366,21.6,31896,12077.0,2005
367,23.8,30029,12079.0,2005
368,10.3,44165,12081.0,2005
369,13.6,35974,12083.0,2005
370,9.8,46133,12085.0,2005
371,17.9,37142,12086.0,2005
372,10.6,47268,12087.0,2005
373,9.2,51007,12089.0,2005
374,9.8,49384,12091.0,2005
