,year,fips,cases_chlamydia,cases_gonorrhea,total_pop
538,2000,26035,39.0,0.0,
539,2000,45027,96.0,82.0,
540,2000,42031,0.0,0.0,
541,2000,5019,84.0,26.0,
542,2000,16033,1.0,0.0,
543,2000,17023,15.0,2.0,
544,2000,18019,0.0,0.0,
545,2000,20025,1.0,0.0,
546,2000,21049,80.0,22.0,
547,2000,29045,10.0,1.0,
548,2000,32003,2705.0,1337.0,
549,2000,39023,276.0,210.0,
550,2000,46025,0.0,0.0,
551,2000,53011,646.0,86.0,
552,2000,55019,0.0,0.0,
553,2000,1025,150.0,72.0,
554,2000,13059,0.0,0.0,
555,2000,19039,8.0,1.0,
556,2000,28023,47.0,53.0,
557,2000,51043,2.0,0.0,
558,2000,41007,109.0,6.0,
559,2000,1027,46.0,8.0,
560,2000,5021,18.0,2.0,
561,2000,12019,251.0,130.0,
562,2000,13061,0.0,0.0,
563,2000,19041,15.0,0.0,
564,2000,17025,3.0,1.0,
565,2000,18021,0.0,0.0,
566,2000,20027,3.0,0.0,
567,2000,21051,45.0,2.0,
568,2000,27027,52.0,7.0,
569,2000,29047,203.0,72.0,
570,2000,28025,58.0,60.0,
571,2000,37043,0.0,0.0,
572,2000,31035,2.0,0.0,
573,2000,46027,34.0,3.0,
574,2000,47027,0.0,0.0,
575,2000,48077,9.0,4.0,
576,2000,54015,0.0,0.0,
577,2000,13063,0.0,0.0,
578,2000,19043,14.0,0.0,
579,2000,8019,0.0,1.0,
580,2000,42033,0.0,0.0,
581,2000,16035,4.0,0.0,
582,2000,27029,8.0,1.0,
583,2000,1029,21.0,13.0,
584,2000,5023,15.0,1.0,
585,2000,39025,155.0,14.0,
586,2000,5025,25.0,9.0,
587,2000,37045,0.0,0.0,
588,2000,40027,371.0,107.0,
589,2000,13065,0.0,0.0,
590,2000,19045,95.0,19.0,
591,2000,17027,18.0,5.0,
592,2000,18023,0.0,0.0,
593,2000,21053,9.0,0.0,
594,2000,26037,18.0,3.0,
595,2000,29049,10.0,2.0,
596,2000,36019,0.0,0.0,
597,2000,39027,72.0,11.0,
598,2000,42035,0.0,0.0,
599,2000,20029,8.0,1.0,
600,2000,28027,323.0,215.0,
601,2000,40029,9.0,1.0,
602,2000,72043,0.0,0.0,
603,2000,13067,0.0,0.0,
