,poverty_rate,fips,year,per_capita_income_2022
288,13.9,1073,2002,61668.75
289,14.5,1073,2003,61671.05
290,15.4,1073,2004,60091.200000000004
291,15.7,1073,2005,63567.92
292,14.3,1073,2006,60927.26
293,15.1,1073,2007,63769.35999999999
294,13.8,1073,2008,62463.15
295,16.5,1073,2009,59337.44
296,16.6,1075,2002,46600.95
297,16.1,1075,2003,46549.93
298,16.8,1075,2004,45765.72
299,17,1075,2005,46166.96
300,18.4,1075,2006,46560.86
301,18.5,1075,2007,46708.06
302,18.2,1075,2008,43772.4
303,18.2,1075,2009,42779.62
304,15.1,1077,2002,54831.149999999994
305,15.6,1077,2003,55419.420000000006
306,16.2,1077,2004,54858.96
307,18.5,1077,2005,50840.96
308,17.1,1077,2006,55189.46
309,18.1,1077,2007,53933.02
310,17.0,1077,2008,52099.200000000004
311,14.5,1077,2009,53561.520000000004
312,14.4,1079,2002,53633.25
313,14.4,1079,2003,55053.950000000004
314,14.7,1079,2004,54596.880000000005
315,16,1079,2005,57563.92
316,14.6,1079,2006,54751.46
317,15.0,1079,2007,55732.159999999996
318,15.0,1079,2008,54884.25
319,16.2,1079,2009,49746.07000000001
320,15.2,1081,2002,53559.0
321,15.2,1081,2003,54015.5
322,16,1081,2004,54069.6
323,20.6,1081,2005,53686.4
324,18.7,1081,2006,54849.28
325,17.3,1081,2007,56400.979999999996
326,15.5,1081,2008,56389.50000000001
327,20.7,1081,2009,51835.32000000001
328,12.4,1083,2002,64117.35
329,11.9,1083,2003,65850.61
330,12.7,1083,2004,65254.8
331,13,1083,2005,61932.4
332,14.0,1083,2006,64609.38
333,12.6,1083,2007,66389.26
334,12.1,1083,2008,62303.850000000006
335,13.5,1083,2009,63855.700000000004
336,24.0,1085,2002,38445.0
337,23.5,1085,2003,38784.9
338,25.5,1085,2004,38948.520000000004
339,29.5,1085,2005,38896.8
340,28.0,1085,2006,38529.4
341,30.0,1085,2007,40512.6
342,25.4,1085,2008,40803.75
343,28.8,1085,2009,38497.0
344,28.0,1087,2002,35674.65
345,26.0,1087,2003,36376.340000000004
346,28.3,1087,2004,36469.68
347,32,1087,2005,35720.0
348,30.2,1087,2006,35721.82
349,29.6,1087,2007,38355.619999999995
350,30.5,1087,2008,36873.9
351,38.6,1087,2009,36069.36
352,10.4,1089,2002,77446.05
353,10.9,1089,2003,78437.59000000001
354,11.7,1089,2004,77127.96
355,10.3,1089,2005,76793.44
356,11.2,1089,2006,75093.64
357,11.3,1089,2007,75075.4
358,11.3,1089,2008,74687.40000000001
359,10.3,1089,2009,78537.99
360,19.8,1091,2002,46332.0
361,20.2,1091,2003,46392.15
362,21.3,1091,2004,45455.28
363,25.2,1091,2005,45045.2
364,26.2,1091,2006,44551.9
365,20.0,1091,2007,46500.74
366,22.6,1091,2008,43714.350000000006
367,24.9,1091,2009,43657.79
368,18.5,1093,2002,44177.1
369,16.8,1093,2003,43835.47
370,17.9,1093,2004,44898.36
371,18.4,1093,2005,45296.0
372,17.1,1093,2006,47876.32
373,19.7,1093,2007,46507.84
374,19.6,1093,2008,42662.700000000004
375,21.2,1093,2009,44274.29
376,15.6,1095,2002,54402.149999999994
377,15.2,1095,2003,54347.16
378,15.8,1095,2004,54373.8
379,18.7,1095,2005,52695.36
380,17.5,1095,2006,54227.32
381,19.6,1095,2007,52442.02
382,18.0,1095,2008,49924.350000000006
383,19.1,1095,2009,51383.22
384,18.6,1097,2002,53448.45
385,18.5,1097,2003,52888.5
386,20,1097,2004,51777.96
387,20,1097,2005,54937.36
388,19.1,1097,2006,55754.479999999996
389,20.8,1097,2007,53356.5
390,18.6,1097,2008,55283.850000000006
391,18.7,1097,2009,54564.36000000001
392,18.3,1099,2002,46963.95
393,17.8,1099,2003,46733.47
394,18.5,1099,2004,47155.68
395,22.3,1099,2005,47065.28
396,22.0,1099,2006,46957.979999999996
397,23.6,1099,2007,45961.14
398,21.8,1099,2008,45997.200000000004
399,23.4,1099,2009,42360.4
400,17.4,1101,2002,58419.899999999994
401,18.0,1101,2003,57303.12
402,19.4,1101,2004,55660.8
403,17.4,1101,2005,60418.48
404,18.6,1101,2006,59746.119999999995
405,18.1,1101,2007,58502.579999999994
406,17.6,1101,2008,58450.950000000004
407,19.9,1101,2009,56285.08
408,12.3,1103,2002,64315.35
409,13.2,1103,2003,64343.65
410,14,1103,2004,63925.68
411,14,1103,2005,62835.28
412,16.0,1103,2006,59394.26
413,14.2,1103,2007,61938.979999999996
414,12.5,1103,2008,62483.4
415,15.9,1103,2009,55234.29
416,32.3,1105,2002,32795.4
417,28.7,1105,2003,33214.3
418,30.4,1105,2004,33758.4
419,34.9,1105,2005,33605.68
420,32.3,1105,2006,33050.02
421,32.7,1105,2007,34267.439999999995
422,31.7,1105,2008,35792.55
423,31.0,1105,2009,33360.87
424,19.7,1107,2002,43230.0
425,19.5,1107,2003,43300.950000000004
426,20.8,1107,2004,43269.72
427,23.3,1107,2005,43438.56
428,23.0,1107,2006,43416.02
429,22.2,1107,2007,44725.74
430,25.6,1107,2008,41921.55
431,28.0,1107,2009,40657.490000000005
432,22.2,1109,2002,42289.5
433,20.4,1109,2003,42850.15
434,21.4,1109,2004,43800.12
435,28.6,1109,2005,41923.12
436,28.1,1109,2006,42732.74
437,27.0,1109,2007,36660.14
438,22.5,1109,2008,43583.4
439,27.6,1109,2009,42783.73
440,17.2,1111,2002,47100.899999999994
441,15.7,1111,2003,47390.350000000006
442,16.1,1111,2004,48317.880000000005
443,19.2,1111,2005,50120.48
444,17.5,1111,2006,48156.64
445,20.9,1111,2007,48779.84
446,17.3,1111,2008,46149.75
447,21.1,1111,2009,46400.530000000006
448,18.6,1113,2002,46168.649999999994
449,18.6,1113,2003,45960.670000000006
450,19.4,1113,2004,46300.8
451,20,1113,2005,45835.6
452,23.9,1113,2006,44715.42
453,21.2,1113,2007,47635.32
454,23.3,1113,2008,38954.25
455,19.9,1113,2009,45945.69
456,13.7,1115,2002,61678.649999999994
457,13.1,1115,2003,62327.93
458,13.1,1115,2004,64094.16
459,13.2,1115,2005,69032.32
460,10.4,1115,2006,66501.54
461,11.6,1115,2007,71065.31999999999
462,12.6,1115,2008,65885.40000000001
463,13.8,1115,2009,62473.37
464,6.5,1117,2002,101298.45
465,6.8,1117,2003,98039.34000000001
466,7,1117,2004,96676.32
467,6.3,1117,2005,93575.76
468,7.2,1117,2006,97054.95999999999
469,6.9,1117,2007,95184.01999999999
470,5.8,1117,2008,96909.75
471,6.9,1117,2009,89608.96
472,27.9,1119,2002,32703.0
473,26.6,1119,2003,33209.47
474,28.3,1119,2004,33054.840000000004
475,36.6,1119,2005,32303.04
476,30.8,1119,2006,33769.799999999996
477,35.0,1119,2007,33283.38
478,32.9,1119,2008,32698.350000000002
479,35.1,1119,2009,31314.090000000004
480,17.4,1121,2002,51755.549999999996
481,16.8,1121,2003,53437.51
482,17.8,1121,2004,53692.08
483,19.3,1121,2005,51658.72
484,18.4,1121,2006,51865.04
485,18.0,1121,2007,54874.479999999996
486,18.7,1121,2008,47907.450000000004
487,18.9,1121,2009,51046.200000000004
488,16.3,1123,2002,49490.1
489,16.1,1123,2003,49307.86
490,17.1,1123,2004,49083.840000000004
491,18.2,1123,2005,49661.44
492,18.9,1123,2006,48090.94
493,17.1,1123,2007,50837.42
494,19.5,1123,2008,47645.55
495,17.8,1123,2009,48911.740000000005
496,16.1,1125,2002,55436.7
497,16.5,1125,2003,56781.48
498,17.2,1125,2004,57092.880000000005
499,20.4,1125,2005,52377.68
500,19.7,1125,2006,55409.92
