,poverty_rate,fips,year,per_capita_income_2022,total_pop,employed_persons,unemployment_rate
249,25.1,1063,2003,35360.43,9805.0,3219.0,8.5
250,26.5,1063,2004,35004.840000000004,9686.0,3184.0,8.6
251,33.9,1063,2005,34102.72,9675.0,3218.0,6.6
252,33.2,1063,2006,34169.84,9361.0,3206.0,5.6
253,31.3,1063,2007,35694.54,9385.0,3080.0,6.5
254,30.3,1063,2008,35101.350000000006,9359.0,2995.0,8.8
255,28.4,1063,2009,35799.47,9182.0,2672.0,14.1
256,22.6,1065,2002,41449.649999999994,17376.0,6481.0,8.4
257,20.8,1065,2003,42082.18,17116.0,6513.0,8.4
258,22,1065,2004,41871.96,16765.0,6528.0,7.4
259,30.4,1065,2005,41853.2,16622.0,6654.0,5.4
260,24.9,1065,2006,42731.28,16427.0,6802.0,5.2
261,24.0,1065,2007,44703.02,16418.0,6611.0,5.5
262,26.0,1065,2008,41972.850000000006,16260.0,6461.0,7.7
263,26.6,1065,2009,41269.880000000005,16025.0,5933.0,13.1
264,16.3,1067,2002,50381.1,16447.0,7096.0,6.1
265,16.3,1067,2003,50721.44,16563.0,7091.0,5.8
266,17.1,1067,2004,50607.96,16692.0,7136.0,5.5
267,17.6,1067,2005,50450.32,16752.0,7130.0,4.3
268,17.8,1067,2006,51681.08,16953.0,7214.0,4.0
269,17.9,1067,2007,49807.92,17108.0,7144.0,5.5
270,18.6,1067,2008,49211.55,17129.0,6794.0,8.0
271,18.7,1067,2009,48244.55,17243.0,6380.0,10.3
272,15.4,1069,2002,57098.25,89940.0,42753.0,4.8
273,15.3,1069,2003,57744.26,91321.0,43175.0,4.8
274,15.8,1069,2004,57120.96,92593.0,43838.0,4.6
275,14.9,1069,2005,57679.44,93903.0,44236.0,3.8
276,16.3,1069,2006,54625.9,95846.0,45164.0,3.4
277,15.7,1069,2007,57454.619999999995,97727.0,45671.0,3.4
278,15.1,1069,2008,57406.05,99183.0,44096.0,5.1
279,17.7,1069,2009,53088.87,100500.0,41941.0,8.5
280,14.9,1071,2002,53258.7,53758.0,24984.0,7.1
281,14.4,1071,2003,53336.08,53711.0,25384.0,7.0
282,15.3,1071,2004,52623.48,53525.0,25230.0,6.7
283,18.8,1071,2005,48956.16,53332.0,25371.0,5.0
284,15.5,1071,2006,54815.7,53483.0,25889.0,4.4
285,17.6,1071,2007,51372.759999999995,53333.0,25835.0,4.6
286,16.9,1071,2008,49405.950000000004,53525.0,25153.0,6.4
287,16.4,1071,2009,47970.55,53461.0,23173.0,11.7
288,13.9,1073,2002,61668.75,657518.0,306259.0,5.2
289,14.5,1073,2003,61671.05,657513.0,304626.0,5.5
290,15.4,1073,2004,60091.200000000004,656023.0,303868.0,5.2
291,15.7,1073,2005,63567.92,654919.0,302586.0,4.4
292,14.3,1073,2006,60927.26,655893.0,304463.0,4.0
293,15.1,1073,2007,63769.35999999999,655163.0,303023.0,3.9
294,13.8,1073,2008,62463.15,656510.0,294233.0,5.6
295,16.5,1073,2009,59337.44,658441.0,276008.0,9.9
296,16.6,1075,2002,46600.95,15446.0,6393.0,8.4
297,16.1,1075,2003,46549.93,15258.0,6131.0,8.7
298,16.8,1075,2004,45765.72,15075.0,5867.0,8.1
299,17,1075,2005,46166.96,15009.0,5775.0,5.6
300,18.4,1075,2006,46560.86,14816.0,5735.0,5.2
301,18.5,1075,2007,46708.06,14901.0,5496.0,6.4
302,18.2,1075,2008,43772.4,14799.0,5227.0,8.3
303,18.2,1075,2009,42779.62,14689.0,4692.0,14.7
304,15.1,1077,2002,54831.149999999994,87627.0,38470.0,8.6
305,15.6,1077,2003,55419.420000000006,88103.0,38353.0,7.3
306,16.2,1077,2004,54858.96,88732.0,38777.0,6.3
307,18.5,1077,2005,50840.96,89358.0,39816.0,5.1
308,17.1,1077,2006,55189.46,90294.0,40853.0,4.2
309,18.1,1077,2007,53933.02,91107.0,41447.0,4.4
310,17.0,1077,2008,52099.200000000004,92202.0,40330.0,5.9
311,14.5,1077,2009,53561.520000000004,92526.0,39087.0,9.8
312,14.4,1079,2002,53633.25,34698.0,15044.0,6.8
313,14.4,1079,2003,55053.950000000004,34488.0,14793.0,6.7
314,14.7,1079,2004,54596.880000000005,34318.0,14992.0,6.3
315,16,1079,2005,57563.92,34435.0,15053.0,5.5
316,14.6,1079,2006,54751.46,34028.0,14910.0,4.8
317,15.0,1079,2007,55732.159999999996,34293.0,15181.0,4.2
318,15.0,1079,2008,54884.25,34196.0,14809.0,6.7
319,16.2,1079,2009,49746.07000000001,34315.0,13734.0,12.5
320,15.2,1081,2002,53559.0,118392.0,56661.0,4.6
321,15.2,1081,2003,54015.5,120071.0,58001.0,4.7
322,16,1081,2004,54069.6,122274.0,59815.0,4.4
323,20.6,1081,2005,53686.4,126133.0,61025.0,3.7
324,18.7,1081,2006,54849.28,129247.0,62706.0,3.4
325,17.3,1081,2007,56400.979999999996,131934.0,63037.0,3.7
326,15.5,1081,2008,56389.50000000001,134524.0,61678.0,5.4
327,20.7,1081,2009,51835.32000000001,138566.0,59215.0,8.6
328,12.4,1083,2002,64117.35,67677.0,31448.0,5.4
329,11.9,1083,2003,65850.61,68578.0,32188.0,5.5
330,12.7,1083,2004,65254.8,69593.0,32921.0,5.1
331,13,1083,2005,61932.4,71303.0,33486.0,4.4
332,14.0,1083,2006,64609.38,73651.0,34508.0,3.6
333,12.6,1083,2007,66389.26,76063.0,35171.0,3.4
334,12.1,1083,2008,62303.850000000006,78835.0,35596.0,4.9
335,13.5,1083,2009,63855.700000000004,81326.0,34795.0,9.0
336,24.0,1085,2002,38445.0,13231.0,4597.0,8.9
337,23.5,1085,2003,38784.9,12996.0,4577.0,9.2
338,25.5,1085,2004,38948.520000000004,12623.0,4511.0,9.1
339,29.5,1085,2005,38896.8,12397.0,4544.0,8.0
340,28.0,1085,2006,38529.4,12124.0,4454.0,7.5
341,30.0,1085,2007,40512.6,11973.0,4406.0,7.7
342,25.4,1085,2008,40803.75,11813.0,4313.0,11.3
343,28.8,1085,2009,38497.0,11486.0,3999.0,17.8
344,28.0,1087,2002,35674.65,23563.0,8220.0,6.5
345,26.0,1087,2003,36376.340000000004,23110.0,7959.0,7.0
346,28.3,1087,2004,36469.68,22685.0,8031.0,6.9
347,32,1087,2005,35720.0,22388.0,8173.0,5.8
348,30.2,1087,2006,35721.82,22227.0,8380.0,5.2
349,29.6,1087,2007,38355.619999999995,21942.0,8397.0,5.5
350,30.5,1087,2008,36873.9,21597.0,8410.0,7.7
351,38.6,1087,2009,36069.36,21190.0,8263.0,11.2
352,10.4,1089,2002,77446.05,286439.0,143433.0,4.6
353,10.9,1089,2003,78437.59000000001,291342.0,147566.0,4.7
354,11.7,1089,2004,77127.96,295655.0,150549.0,4.6
355,10.3,1089,2005,76793.44,301474.0,152734.0,3.6
356,11.2,1089,2006,75093.64,309170.0,156243.0,3.3
357,11.3,1089,2007,75075.4,315859.0,160439.0,3.1
358,11.3,1089,2008,74687.40000000001,323526.0,161020.0,4.3
359,10.3,1089,2009,78537.99,330856.0,156443.0,7.4
360,19.8,1091,2002,46332.0,22217.0,8429.0,6.4
361,20.2,1091,2003,46392.15,22025.0,8468.0,6.3
362,21.3,1091,2004,45455.28,21777.0,8320.0,6.0
363,25.2,1091,2005,45045.2,21569.0,8092.0,5.7
364,26.2,1091,2006,44551.9,21531.0,8204.0,4.6
365,20.0,1091,2007,46500.74,21475.0,7728.0,5.4
366,22.6,1091,2008,43714.350000000006,21331.0,7374.0,7.7
367,24.9,1091,2009,43657.79,21170.0,7000.0,13.1
368,18.5,1093,2002,44177.1,30608.0,11576.0,8.8
369,16.8,1093,2003,43835.47,30554.0,12184.0,7.2
370,17.9,1093,2004,44898.36,30516.0,12492.0,6.3
371,18.4,1093,2005,45296.0,30494.0,12900.0,4.4
372,17.1,1093,2006,47876.32,30779.0,12930.0,4.3
373,19.7,1093,2007,46507.84,30849.0,12314.0,5.3
374,19.6,1093,2008,42662.700000000004,30918.0,11679.0,8.2
375,21.2,1093,2009,44274.29,30646.0,10386.0,15.3
376,15.6,1095,2002,54402.149999999994,83417.0,38052.0,6.0
377,15.2,1095,2003,54347.16,84348.0,38486.0,5.6
378,15.8,1095,2004,54373.8,85131.0,39619.0,4.8
379,18.7,1095,2005,52695.36,86516.0,40225.0,3.9
380,17.5,1095,2006,54227.32,88209.0,40583.0,3.4
381,19.6,1095,2007,52442.02,89605.0,39946.0,3.5
382,18.0,1095,2008,49924.350000000006,91072.0,39645.0,4.9
383,19.1,1095,2009,51383.22,92213.0,36871.0,9.3
